Situation,Symptoms,Severity,FirstAidSteps,Medicines,EmergencyTriggers,Warnings
Eye Injury (Foreign Object),sensation of something in eye excessive tearing redness pain when blinking scratchy feeling foreign body dust metal glass splinter visible on eye surface blurred vision,Minor to Moderate,"Do NOT rub the eye; Try to blink rapidly — tears may flush out the object; Gently pull upper eyelid over lower eyelid; Flush with clean water or sterile saline; If object is on white of eye and visible, try gently removing with corner of damp clean cloth; If object is on cornea or embedded — cover eye loosely and go to hospital","Sterile eye wash / saline, Eye irrigation","Object is embedded in the eye, Object is on the cornea, Severe pain or vision changes, Chemical or metal splash",Do NOT attempt to remove embedded objects — cover the eye and seek medical help. Do NOT rub the eye. Metal fragments from grinding may cause rust rings requiring surgical removal.
Seizure / Convulsions,sudden loss of consciousness rhythmic jerking movements tonic-clonic muscle rigidity uncontrolled shaking eye rolling frothing at mouth tongue biting bladder loss postictal confusion after seizure,Moderate to Severe,"Keep calm; Clear the area of hard/sharp objects to prevent injury; Cushion the head with something soft; Place person on their side (recovery position) to prevent choking on saliva; Time the seizure; Do NOT restrain the person or put anything in their mouth; Stay with them until fully conscious; When convulsions stop, reassure the person calmly","Rectal diazepam (if prescribed for known epilepsy), Buccal midazolam (prescribed), No OTC medicine for seizures","First ever seizure, Seizure lasts more than 5 minutes, Multiple seizures without recovery between them, Seizure in water, Injury occurs during seizure, Person is pregnant, Person has diabetes","Do NOT put anything in the person's mouth — people cannot swallow their tongue during seizures. Do NOT restrain. After seizure, person may be confused (postictal state) — this is normal."
Fracture / Broken Bone,intense localized bone pain swelling bruising deformity crepitus grating sensation inability to move limb abnormal position limb shortening visible bone open fracture tenderness on palpation,Moderate to Severe,"Keep the person still; Do NOT try to straighten the bone; Immobilize the injured area with a splint or sling (using rolled newspaper, cardboard, or clothing); Apply ice pack wrapped in cloth to reduce swelling; Elevate the injured limb if possible; Treat for shock if needed (lay flat, keep warm); Seek emergency medical care","Ice pack, Splint/sling material, Paracetamol or Ibuprofen (for pain), Triangular bandage","Suspected fracture of spine, pelvis, or thigh, Open fracture (bone visible through skin), Significant deformity, Numbness or loss of circulation below fracture, Multiple fractures",Do NOT move a person with suspected spinal injury unless in immediate danger. Open fractures carry high risk of infection. Do NOT attempt to push bone back in.
Sprain / Strain,joint pain swelling bruising around joint limited range of motion tenderness on touch instability of joint muscle pull overstretching ligament damage ankle wrist knee sprain,Minor,"Follow PRICE: Protect, Rest, Ice, Compression, Elevation; Rest the injured area — avoid activity; Apply ice pack (wrapped in cloth) for 15–20 minutes every 2 hours; Apply compression bandage — not too tight; Elevate the limb above heart level; Take pain relief if needed; Seek medical care if pain is severe or no improvement in 24–48 hours","Ice pack, Compression bandage, Paracetamol or Ibuprofen, Topical pain-relief gel (Diclofenac gel)","Significant swelling or deformity (may indicate fracture), Inability to bear weight, Severe pain, Numbness or tingling",Applying ice directly to skin causes ice burns — always wrap in cloth. Do NOT apply heat in the first 48 hours. PRICE method is the standard for sprains.
Dislocation,visible joint deformity intense pain inability to move joint swelling bruising joint out of normal position shoulder hip elbow kneecap displaced locked joint numbness below dislocation,Severe,"Call emergency services or go to emergency room; Immobilize the joint in the position found — do NOT attempt to relocate; Apply ice pack wrapped in cloth; Support the dislocated limb with padding/pillows; Monitor circulation: check pulse, sensation, and color below the dislocation; Treat for shock if needed","Ice pack, Immobilization support, Pain relief (hospital-administered), NSAIDs after reduction",Always — dislocation requires professional medical reduction,"NEVER attempt to reduce (put back) a dislocation yourself — risk of nerve, blood vessel, and bone damage. Loss of sensation or circulation is an emergency."
Back / Spinal Injury,severe back pain neck pain after trauma numbness tingling in limbs weakness paralysis loss of bladder or bowel control tenderness along spine pain radiating down legs,Critical,"Call emergency services immediately; Do NOT move the person unless there is immediate danger (fire, drowning); Keep the person still — tell them not to move; Support head and neck in position found; If movement is essential, use log-roll technique (at least 3 people); Monitor breathing; Begin CPR if needed without moving the spine","Cervical collar (if trained), Spine board (emergency services)",Always if spinal injury is suspected,Spinal injury can cause permanent paralysis if mishandled. Never move a suspected spinal injury victim unless absolutely necessary for safety. Do NOT remove a motorcycle helmet if spinal injury is suspected.
Poisoning (Ingested),nausea vomiting abdominal cramps diarrhea drooling altered consciousness confusion dizziness burns around mouth chemical taste on lips unknown substance swallowed household product medication overdose plant ingestion,Severe,"Call emergency services or Poison Control Center immediately; Keep the person calm and conscious; If person vomits, prevent choking by turning on side; Identify the substance if possible — keep the container; Do NOT give anything to eat/drink unless advised by Poison Control; Do NOT induce vomiting unless specifically instructed by Poison Control","Activated charcoal (hospital/Poison Control directed only), Specific antidotes (hospital), No OTC self-treatment",Always — call Poison Control or emergency services immediately,Do NOT induce vomiting — it can cause further damage with corrosives and increases risk of aspiration. Bring the poison container/packaging to the hospital. Keep Poison Control numbers accessible.
Poisoning (Inhaled),headache dizziness nausea after fume exposure coughing burning throat difficulty breathing confusion loss of consciousness chemical smell gas exposure carbon monoxide toxic fumes,Severe,"Move person to fresh air immediately — ensure your own safety first; Call emergency services; Loosen tight clothing; If breathing stops, begin CPR; Do NOT enter a confined space with fumes without protection; Identify the gas if possible","Oxygen (emergency services), CPR equipment, No OTC medicines",Always — inhaled poisoning is always an emergency,Carbon monoxide has no color or smell — install CO detectors at home. Rescuers can also become victims — do NOT enter enclosed spaces with toxic gases without proper protection.
Poisoning (Skin Contact),redness burning pain blistering skin discoloration chemical contact dermatitis rash swelling after touching toxic substance pesticide corrosive acid alkali splash skin irritation,Moderate to Severe,Remove the person from the source; Remove contaminated clothing and jewelry (wear gloves); Flush skin with large amounts of water for 15–20 minutes; Call Poison Control or emergency services; Do NOT rub the skin,"Water for irrigation, Sterile dressings","If symptoms develop (burning, blistering, breathing difficulty), Always for pesticide/chemical exposure",Do NOT use neutralizing agents unless directed by Poison Control. Wear gloves when assisting to avoid self-contamination.
Drug Overdose,unresponsive slow shallow breathing pinpoint pupils blue lips opioid signs confusion agitation hallucination rapid heart rate drug misuse intentional or accidental excessive medication intake,Life-Threatening,"Call emergency services immediately; Keep the person awake and conscious if possible; Place in recovery position if unconscious; Monitor breathing — begin CPR if breathing stops; Do NOT leave the person alone; Gather information on what was taken, how much, and when","Naloxone / Narcan (for opioid overdose — nasal spray or injection), CPR equipment, Activated charcoal (hospital), No other OTC medicines",Always — all drug overdoses require emergency medical attention,For opioid overdose: administer Naloxone if available — it can reverse overdose temporarily. The person will still need emergency care. Do NOT induce vomiting. Stay with the person.
Asthma Attack,sudden shortness of breath wheezing tightness in chest coughing inability to complete sentences rapid breathing accessory muscle use intercostal recession silent chest severe attack blue lips,Moderate to Severe,"Sit the person upright and forward — do NOT lay them down; Encourage calm, slow breathing; Give 1 puff of reliever inhaler (blue — Salbutamol/Albuterol) immediately; Give one puff every 60 seconds, up to 10 puffs; If no improvement after 10 puffs — call emergency services and repeat every 10 minutes; Keep the person calm and warm","Salbutamol (Albuterol) reliever inhaler (blue), Ipratropium bromide inhaler (hospital), Oral corticosteroids (Prednisolone — hospital), Spacer device for inhaler","No improvement after 10 puffs of reliever inhaler, Lips or fingernails turning blue, Person is exhausted or cannot speak, This is the first ever asthma attack",Never lay an asthma patient down. Spacer devices make inhalers more effective. Always have reliever inhalers accessible. Do NOT use preventer inhalers (brown/purple) during acute attacks.
Difficulty Breathing (General),labored breathing shortness of breath rapid shallow respirations chest tightness inability to speak in full sentences accessory muscle use flared nostrils cyanosis gasping air hunger,Severe,"Call emergency services immediately; Sit the person upright in a position of comfort; Loosen tight clothing around neck and chest; Keep the person calm; If person has prescribed inhaler, help them use it; Begin CPR if breathing stops","Reliever inhaler (if asthma), Oxygen (emergency services), No OTC medicines for unknown breathing difficulty",Always for unexplained severe difficulty breathing,"Do NOT give the person water or food. Determine cause if possible (asthma, allergic reaction, heart failure, panic attack). Blueness of lips/fingers indicates oxygen deprivation — emergency."
Fainting / Syncope,sudden loss of consciousness brief episode of collapse sudden weakness dizziness before faint tunnel vision pale sweating nausea before passing out slow recovery quick return of consciousness,Minor to Moderate,"Catch the person if possible to prevent injury from falling; Lay the person flat and raise legs 30 cm (12 inches) above heart level; Loosen tight clothing (collar, belt); Ensure fresh air — open windows if indoors; Do NOT give anything to eat/drink until fully conscious; Once conscious, have person sit up slowly; Offer water after they are fully alert","No medicines required for simple faint, Smelling salts (use cautiously — not for everyone), Glucose drink once fully conscious (if diabetic)","Does not regain consciousness within 1–2 minutes, Fainting after head injury, Fainting with chest pain or palpitations, Fainting in water, Pregnant woman faints",Fainting in elderly or people with heart conditions can be serious. Do NOT slap or splash water on the face. Raising legs is the priority. Investigate underlying cause if fainting recurs.
Shock,pale cold clammy skin rapid weak pulse confusion agitation rapid shallow breathing extreme weakness decreased urine output dizziness low blood pressure nausea following major injury blood loss allergy infection,Life-Threatening,"Call emergency services immediately; Lay the person flat — raise legs about 30 cm unless head/spinal/leg injury; Keep the person warm with a blanket; Do NOT give food or drink; Loosen tight clothing; Monitor breathing and consciousness; Begin CPR if needed; Treat the underlying cause (control bleeding, etc.)","IV fluids (hospital), Vasopressors (hospital), No OTC medicines",Always — shock is always a medical emergency,"Shock types: hypovolemic (blood loss), anaphylactic (allergy), cardiogenic (heart), septic (infection), neurogenic (spinal). Do NOT give food/fluids by mouth. Shock can be fatal — rapid treatment is essential."
Bleeding from Ear,blood draining from ear canal after head trauma ear pain hearing loss possible skull fracture sign fluid behind eardrum tinnitus ringing in ear head injury related bleeding,Moderate to Severe,Do NOT insert anything into the ear canal; Do NOT try to stop the bleeding by blocking the ear; Tilt the person's head so the affected ear is down — allow blood to drain; Place sterile gauze loosely over the ear; Call emergency services — this may indicate skull fracture,Sterile gauze (covering only),Always — bleeding from ear after head trauma indicates possible skull fracture,Bleeding from ear after head injury is a sign of serious skull fracture. Do NOT plug the ear — allowing blood to drain prevents pressure buildup. This is always an emergency.
Concussion / Head Injury,headache confusion memory loss amnesia dizziness nausea vomiting sensitivity to light and noise feeling foggy slowed reaction repeated questioning disorientation after head impact loss of consciousness,Moderate to Severe,"Keep the person still and calm; Apply cold compress to any swelling; Monitor for worsening symptoms: confusion, vomiting, unequal pupils, seizures; Do NOT leave person alone for 24 hours; Wake the person every 2 hours overnight to check consciousness; Seek medical evaluation","Ice pack (for swelling), Paracetamol for headache (NOT Ibuprofen or Aspirin — may increase bleeding risk), Do NOT give sedating medications","Loss of consciousness, Repeated vomiting, Severe headache, Confusion, One pupil larger than other, Clear fluid from nose/ear, Weakness or numbness","Do NOT give NSAIDs (Ibuprofen, Aspirin) for head injury — risk of increased bleeding. Always seek medical evaluation after any significant head injury. Do NOT allow sleep immediately after concussion without monitoring."
Dental Pain / Toothache,throbbing tooth pain sharp pain when biting or chewing sensitivity to hot or cold sweet foods swollen gums abscess pus fever associated with tooth infection jaw pain referred pain,Minor,Rinse mouth with warm salt water; Use dental floss to remove any trapped food; Apply clove oil to affected area (natural pain relief); Place a cold compress on the cheek; Take over-the-counter pain reliever; See a dentist as soon as possible,"Paracetamol or Ibuprofen (pain relief), Clove oil (topical numbing), Benzocaine gel (Orajel — topical), Salt water rinse","Swelling spreading to face/neck, Difficulty breathing or swallowing, High fever, Pus or abscess visible",Dental abscess with spreading swelling can be life-threatening — seek emergency care. Do NOT place aspirin directly on the gum — causes chemical burn. Root cause must be treated by a dentist.
Knocked-Out Tooth (Avulsed),tooth completely out of socket adult permanent tooth missing bleeding socket gum pain trauma to mouth impact injury tooth in hand or on ground time-sensitive dental emergency,Moderate,"Find the tooth and pick up by the crown (white part) — do NOT touch the root; If dirty, rinse gently with milk or saline — do NOT scrub; Try to reinsert in the socket immediately if adult tooth; If cannot reinsert, store in milk, saline, or inside the cheek; See a dentist IMMEDIATELY — ideally within 30 minutes","Saline solution or milk (for tooth storage), Paracetamol (pain relief)",Always — go to a dentist or emergency room immediately,Time is critical — tooth can be reimplanted successfully if treated within 30–60 minutes. Do NOT store tooth in water. Baby teeth should NOT be reimplanted. Do NOT rub or scrub the tooth root.
Jellyfish Sting,immediate burning stinging pain red welts raised linear marks on skin tentacle marks itching throbbing localized swelling possible nausea dizziness after marine contact box jellyfish anaphylaxis risk,Minor to Moderate,Get out of the water; Do NOT rub the affected area; Rinse with seawater (NOT fresh water); Remove visible tentacles with tweezers or card — do NOT use bare hands; Immerse in hot water (as hot as tolerable) or apply heat pack for 20 minutes — this deactivates venom; Apply antihistamine cream; Take oral antihistamine and pain reliever,"Antihistamine cream (Hydrocortisone 1%), Oral antihistamine (Cetirizine), Ibuprofen or Paracetamol, Heat pack / hot water soak","Signs of anaphylaxis, Sting on face/genitals, Systemic symptoms (chest pain, difficulty breathing), Box jellyfish sting (highly venomous — emergency)",Do NOT urinate on the sting — this is a myth and may worsen the reaction. Do NOT use fresh water or vinegar for most jellyfish. Box jellyfish stings may require vinegar — seek local guidance. Do NOT rub tentacles off.
Sunburn,red hot painful skin after sun exposure tender to touch skin peeling after 24 to 48 hours blistering in severe cases chills fever nausea headache UV radiation overexposure,Minor to Moderate,Move to shade or indoors; Cool the skin with cool (not cold) water or damp cloths; Take a cool bath or shower; Apply moisturizing lotion or aloe vera gel; Drink plenty of fluids; Take pain reliever if needed; Avoid further sun exposure until healed; Do NOT pop blisters,"Aloe vera gel, Moisturizing cream/lotion, Ibuprofen or Paracetamol, After-sun lotion, Hydrocortisone cream 1% (for inflammation)","Blistering over large area, Fever above 38.5°C (101.3°F), Extreme pain, Confusion or dehydration signs","Do NOT use butter, oil, or petroleum jelly. Sunburns can increase skin cancer risk over time. Blistered sunburns need medical evaluation. Protect with broad-spectrum SPF 30+ sunscreen."
Panic Attack,sudden intense fear chest tightness pounding heart racing heartbeat shortness of breath trembling shaking sweating dizziness numbness tingling feeling of unreality fear of dying overwhelming anxiety no physical trigger,Moderate,"Move to a calm, quiet environment; Stay with the person — speak calmly and reassuringly; Guide the person in slow breathing: breathe in for 4 counts, hold for 4, out for; Help them focus on 5 things they can see, 4 they can touch, 3 they can hear; Reassure them the attack will pass and is not physically dangerous; Do NOT leave them alone","No medicines required in most cases, Prescribed benzodiazepines (e.g., Diazepam — if already prescribed), Lavender aromatherapy (calming support)","First ever attack (to rule out cardiac event), Chest pain persisting after attack, Person requests medical help","Panic attacks, while terrifying, are not physically dangerous. Breathing techniques and grounding exercises are the most effective first-line interventions. Hyperventilation during panic attacks can cause tingling — slow breathing corrects CO2 levels."
Nose Injury (Suspected Broken Nose),nose pain after direct impact swelling bruising under eyes nasal bleeding deviation from normal position difficulty breathing through nose crepitus on touch tenderness nasal bridge facial trauma,Moderate,Tilt head slightly forward and breathe through the mouth; Pinch nose and apply pressure to stop bleeding; Apply ice pack wrapped in cloth to reduce swelling; Do NOT try to straighten the nose; Seek medical attention,"Ice pack, Paracetamol (pain relief)","Breathing difficulty, Heavy bleeding that won't stop, Clear fluid from nose (may indicate skull fracture), Swelling of the eye (orbit fracture)",Do NOT try to reset the nose yourself. Clear fluid from nose after injury may indicate a serious skull base fracture — emergency.
Ear Injury / Foreign Object in Ear,ear pain sensation of fullness in ear muffled hearing buzzing insect in ear object visible or felt in ear canal discharge from ear child inserted object hearing loss,Minor,"Do NOT probe the ear with cotton buds or objects; Tilt the head with affected ear downward — gravity may dislodge object; For insects: shine a light into the ear, or flush with warm water; Seek medical attention for removal","Warm water (for flushing — water-based objects), No OTC medicines","Pain, hearing loss, or object cannot be removed, Live insect in ear",Do NOT insert objects into the ear. Attempting to remove a foreign object without visualization can push it deeper and damage the eardrum. Seek medical assistance for professional removal.
Eye Allergy / Irritation,itchy watery eyes redness swollen eyelids burning sensation discharge seasonal allergy pollen dust pet dander trigger bilateral eye irritation rubbing eyes mucus discharge conjunctivitis-like symptoms,Minor,Do NOT rub the eyes; Flush with sterile saline or clean water; Apply cold compress over closed eyes; Remove contact lenses; Take oral antihistamine,"Antihistamine eye drops (Ketotifen / Azelastine), Oral antihistamine (Cetirizine), Sterile saline eye drops (preservative-free), Mast cell stabilizer eye drops","Severe eye pain, Loss of vision, Redness with pus (may indicate infection)",Do NOT rub eyes — causes mast cell degranulation and worsens allergic reaction. Remove contact lenses during treatment.
Hypothyroidism Crisis (Myxedema Coma),extreme cold intolerance decreased consciousness hypothermia severe fatigue confusion bradycardia slow heart rate swollen face puffiness low sodium levels respiratory depression life-threatening thyroid emergency,Critical,Call emergency services immediately; Keep person warm — they cannot regulate body temperature; Position on side if unconscious; Begin CPR if needed; Provide emergency information on their medical condition to responders,"IV thyroid hormone replacement (hospital only), IV corticosteroids (hospital), IV fluids (hospital)",Always — this is a life-threatening emergency,This is a hospital-only emergency requiring IV thyroid hormone. Lay person with hypothermia precautions. Do NOT rewarm too rapidly.
Pregnancy Emergency (Miscarriage),vaginal bleeding during pregnancy abdominal cramping lower back pain passing tissue or clots loss of pregnancy symptoms sudden decrease in nausea cervix open on examination early pregnancy loss,Severe,Call emergency services or go to hospital immediately; Keep the person calm and reassured; Help them lie down and rest; Offer emotional support; Do NOT leave the person alone; Collect any passed tissue in a clean container for medical evaluation,"No OTC medicines — hospital evaluation required, Paracetamol (for pain only — consult doctor)",Always — all suspected miscarriage requires urgent medical evaluation,Do NOT attempt to intervene physically. Emotional support is critical. Emergency care is required to manage bleeding and assess whether the miscarriage is complete.
Pregnancy Emergency (Pre-eclampsia),high blood pressure in pregnancy severe headache visual disturbances spots flashing lights upper abdominal pain right upper quadrant swelling of face hands feet protein in urine third trimester,Critical,Call emergency services immediately; Keep the woman calm and lying on her left side; Monitor for seizures (eclampsia); Do NOT give any medication unless prescribed; Keep environment quiet and low-stimulation,"No OTC medicines — hospital treatment required (Magnesium sulfate, antihypertensives)",Always — pre-eclampsia is a medical emergency,"Symptoms: high blood pressure, severe headache, visual disturbances, swelling, upper abdominal pain. Left lateral position improves blood flow to fetus. Eclamptic seizures can be fatal."
Epistaxis (Nosebleed — Anterior),blood dripping from front of nose one or both nostrils spontaneous bleeding after nose-picking dry air irritation anticoagulant use high blood pressure nasal trauma recent cold or infection,Minor,"Sit upright — lean slightly forward; Pinch the soft part of the nose firmly; Breathe through mouth; Hold for 10–15 minutes continuously; Apply cold compress to bridge of nose; After bleeding stops, avoid nose-blowing for several hours","Nasal decongestant spray (short-term), Saline nasal spray (prevents dryness), Petroleum jelly applied inside nostrils (prevents recurrence)","Bleeding does not stop after 20–30 minutes, Caused by head injury, Very heavy blood loss, Blood-thinning medication use",Most nosebleeds are minor and can be managed at home. Tilt head FORWARD — not backward.
Electric Shock (Minor),brief electrical shock tingling sensation in hand arm muscle jerk visible burn mark at contact point mild confusion momentary loss of consciousness entry exit wound possible minor cardiac irregularity,Moderate,"Do NOT touch the person if still in contact with electricity; Turn off power at source; If person is conscious and appears uninjured, reassure them; Check for burns at entry and exit points; Seek medical attention — internal injuries may not be visible; Monitor for irregular heartbeat","Ice pack for minor burns, Sterile dressings",Always seek medical evaluation after any electric shock — even if minor,Electricity can cause internal burns not visible externally. Cardiac arrhythmias can develop after electric shock. Always go to hospital.
Carbon Monoxide Poisoning,throbbing headache dizziness nausea confusion weakness shortness of breath loss of consciousness cherry red lips skin multiple people in same room affected no odor colorless gas silent killer,Life-Threatening,Get everyone out of the building immediately; Call emergency services; Do NOT re-enter the building; Provide fresh air; Begin CPR if needed; Hospital will provide high-concentration oxygen treatment,"High-flow oxygen (emergency services / hospital), Hyperbaric oxygen therapy (hospital, if severe)",Always — carbon monoxide poisoning is always an emergency,"CO is odorless and colorless — install CO detectors. Symptoms include headache, dizziness, confusion, nausea. A CO detector is essential in all homes with gas appliances."
Diabetic Foot Wound,wound on foot in diabetic patient slow healing redness warmth swelling pus or discharge numbness or reduced sensation in foot ulcer development gangrene risk peripheral neuropathy poor circulation,Moderate to Severe,Clean wound gently with saline or mild antiseptic; Cover with sterile dressing; Do NOT ignore even minor wounds on diabetic feet; Seek medical attention promptly; Avoid walking on the wound,"Sterile saline, Non-adhesive sterile dressings, Antiseptic solution, Antibiotics (prescription)",All diabetic foot wounds require prompt medical evaluation,Diabetic foot wounds can progress rapidly to serious infection and amputation. Poor circulation and neuropathy mean wounds may not be painful. Never delay medical care for diabetic foot injuries.
Hypothermia (Mild),shivering cold skin temperature between 32 and 35 degrees Celsius slurred speech clumsiness poor coordination numbness in extremities pallor fatigue confusion after cold exposure wet clothing,Moderate,"Move to a warm, sheltered area; Replace wet clothing with dry; Wrap in blankets or warm clothing; Give warm (not hot) drinks if conscious; Apply chemical heat packs wrapped in cloth to armpits and groin; Monitor temperature and consciousness","Thermal blanket, Warm fluids (non-alcoholic), Chemical heat packs","Temperature does not improve, Loss of consciousness, Temperature below 32°C (90°F)",Do NOT give alcohol — it causes peripheral vasodilation and increases heat loss. Gradual rewarming is safer than rapid rewarming.
Urinary Tract Infection (UTI),burning pain on urination frequent urge to urinate cloudy dark urine strong foul odor lower abdominal pain pelvic pressure blood in urine hematuria low-grade fever back pain kidney involvement,Moderate,"Encourage increased fluid intake — especially water; Urge frequent urination; Apply warm compress to lower abdomen for comfort; Avoid caffeine, alcohol, and spicy foods; Seek medical attention for antibiotic prescription; Cranberry products may help prevent but not treat UTI","Antibiotics (prescription only — Trimethoprim, Nitrofurantoin, Amoxicillin), Phenazopyridine (urinary pain relief — OTC in some regions), Paracetamol (pain/fever), Plenty of water","Fever above 38°C, Lower back or flank pain (kidney involvement), Blood in urine, Symptoms in men or children, Pregnant women with UTI symptoms",UTIs require antibiotics — self-treatment with non-prescription medicines only manages symptoms. Delay in treatment of upper UTI (pyelonephritis) can lead to kidney damage or sepsis.
Chest Pain (Unknown Cause),sudden chest pain pressure tightness squeezing sensation shortness of breath sweating nausea radiating arm jaw back unknown cardiac or respiratory cause requires immediate emergency evaluation,Severe,Call emergency services immediately; Have the person sit or lie in comfortable position; Loosen tight clothing; If suspected heart attack: give 300mg Aspirin to chew if not allergic; Monitor breathing and consciousness; Begin CPR if they stop breathing; Do NOT leave the person alone,"Aspirin 300mg (if suspected heart attack, no allergy), GTN spray (if prescribed), No other OTC medicines",Always — all unexplained chest pain requires emergency evaluation,"Never assume chest pain is minor. Causes include heart attack, pulmonary embolism, aortic dissection, pneumothorax — all potentially fatal. Treat all chest pain as a possible cardiac event until proven otherwise." 
Breathing in Smoke (Fire),coughing from smoke inhalation hoarse voice sore throat singed nasal hairs soot around nose mouth shortness of breath chest tightness confusion headache carbon monoxide exposure fire victim,Severe,"Move to fresh air immediately; Call emergency services; Loosen tight clothing; If conscious: encourage slow, calm breathing; If unconscious: recovery position and begin CPR if needed; Seek emergency medical care even if symptoms seem mild","Oxygen (emergency services), IV fluids (hospital), No OTC medicines",Always — smoke inhalation can cause delayed respiratory failure,Symptoms may worsen hours after exposure. Carbon monoxide poisoning from smoke is common. Hospital evaluation is essential even if person initially appears fine.
